"","","","","","","",""
"              Event","satRday Cape Town:2  ","satRday Amsterdam:1  ","satRday Belgrade :1  ","satRday Berlin   :1  ","satRday Budapest :1  ","satRday Cardiff  :1  ","(Other)          :9  "
"       City","Cape Town:2  ","Amsterdam:1  ","Belgrade :1  ","Berlin   :1  ","Budapest :1  ","Cardiff  :1  ","(Other)  :9  "
"        Country","America     :3  ","South Africa:3  ","Chile       :1  ","England     :1  ","France      :1  ","Germany     :1  ","(Other)     :6  "
"        Continent","Africa       :4  ","Europe       :8  ","North America:3  ","South America:1  ",NA,NA,NA
"                                  Owner","                                     :5  ","http://www.noatamir.com/             :1  ","https://benjaminortizulloa.github.io/:1  ","https://colinfay.me/                 :1  ","https://github.com/amy17519          :1  ","https://github.com/angela-li         :1  ","(Other)                              :6  "
"     Lat","Min.   :-33.960  ","1st Qu.: -6.751  ","Median : 43.349  ","Mean   : 24.545  ","3rd Qu.: 51.704  ","Max.   : 54.978  ",NA
"          Lon","-1.615823,16: 1  ","-118.445186 : 1  ","-3.179329   : 1  ","-70.640757  : 1  ","-77.046408  : 1  ","-87.625117  : 1  ","(Other)     :10  "
"                                 URL","https://amsterdam2018.satrdays.org/: 1  ","https://belgrade2018.satrdays.org/ : 1  ","https://berlin2019.satrdays.org    : 1  ","https://budapest2016.satrdays.org/ : 1  ","https://capetown2017.satrdays.org/ : 1  ","https://capetown2018.satrdays.org/ : 1  ","(Other)                            :10  "
" Status","Past:16  ",NA,NA,NA,NA,NA,NA
"        Date","06/04/2019:2  ","01/09/2018:1  ","03/09/2016:1  ","05/04/2019:1  ","08/12/2018:1  ","15/06/2019:1  ","(Other)   :9  "
"     Year","Min.   :2016  ","1st Qu.:2018  ","Median :2018  ","Mean   :2018  ","3rd Qu.:2019  ","Max.   :2019  ",NA
"Quarter","Q1:3  ","Q2:8  ","Q3:2  ","Q4:3  ",NA,NA,NA
"Estimated_Attendees","Min.   :  0.00  ","1st Qu.:  0.00  ","Median :  0.00  ","Mean   : 11.25  ","3rd Qu.:  0.00  ","Max.   :180.00  ",NA
"  Ticket_Price","0       :6  ","40 Euros:2  ","R 200.00:2  ","$50     :1  ","$5000   :1  ","140 PLN :1  ","(Other) :3  "
"                                                                                                                                   Sponsors","                                                                                                                                       : 1  ","AgroParisTech- Gandi- RTE- SAMM- Dataiku- Rstudio- ArData- dreamRs- EDF- Esti- H2O- Servier                                            : 1  ","Auto1 Group- Europace- consortium- Rstudio- jumping rivers                                                                             : 1  ","Cardiff University- Locke Data- jumping rivers- sorenson Media                                                                         : 1  ","consortium                                                                                                                             : 1  ","consortium- BI Consulting- andego- Morgan Stanley- Data Solutions- hiflylabs- Kogentum- Precognox- quanopt- rapidminer- Syneti- Ustream: 1  ","(Other)                                                                                                                                :10  "
"                                          Invited_Speakers","Gabor Csardi- Jeroen Ooms                         : 1  ","Katherine Ognyanova- David Smith- Charlie Thompson: 1  ","Lionel Henry- Henrik Bengtsson- Suzan Baert       : 1  ","Maille Salmon- Stephanie Kovalchik                : 1  ","Mara Averick                                      : 1  ","Mariachiara Fortuna- Andrea Melloncelli           : 1  ","(Other)                                           :10  "
"                                                                           Additional_Info","                                                                                   :14  ","Talk materials available at https://github.com/kampalr                             : 1  ","Talk materials available at https://github.com/satRdays/losangeles/blob/master/2019: 1  ",NA,NA,NA,NA
